x,y
0.020,452.9268145
0.030,473.1351223
0.040,487.432105
0.050,499.0444565
0.060,518.3935865
0.070,537.4978622
0.080,553.9339035
0.090,566.0007365
0.100,586.0261321
0.110,600.9732023
0.120,620.1098573
0.130,635.5139719
0.140,654.4981597
0.150,672.0534985
0.160,686.1070891
0.170,700.4706026
0.180,717.9055013
0.190,736.9646156
0.200,756.4112203
0.210,774.4712423
0.220,792.3240365
0.230,813.7627086
0.240,827.9998613
0.250,843.7596995
0.260,864.5712387
0.270,889.038091
0.280,902.220386
0.290,917.6531844
0.300,942.3572158
0.310,952.2876097
0.328,988.7736734
0.337,1000.969721
0.346,1023.807848
0.355,1035.528398
0.364,1053.546584
0.374,1066.734569
0.383,1088.396653
0.392,1100.91205
0.401,1120.031743
0.410,1128.592573
0.420,1145.619863
0.432,1159.546727
,
,
,
,
,
,
,
,
