y,x
256.195,0.01020416
289.614,0.01020416
225.347,0.01020416
276.761,0.01020416
302.468,0.012739013
312.751,0.017789524
323.033,0.022814655
330.746,0.03030532
341.028,0.045120391
348.74,0.057300893
359.023,0.071724205
366.735,0.081225454
371.877,0.092976459
377.018,0.104590619
382.159,0.11607224
387.301,0.125162849
392.442,0.13641199
397.584,0.145320379
402.725,0.156346268
407.866,0.167251065
415.578,0.180182604
423.29,0.199271262
433.573,0.215938457
441.285,0.23436278
446.427,0.246459216
451.568,0.256429767
456.71,0.272178257
464.422,0.287681822
469.563,0.304841504
477.275,0.321711691
482.416,0.340128402
487.558,0.354621537
490.129,0.363574487
492.699,0.374212459
495.27,0.381242768
497.841,0.389960869
500.411,0.398604293
500.411,0.407172982
502.982,0.415669532
502.982,0.424093844
502.982,0.434110872
500.411,0.440733148
497.841,0.445671233
492.699,0.448950433
487.558,0.453848205
479.846,0.45547548
474.704,0.457100111
469.563,0.458722106
464.422,0.460341476
456.71,0.461958227
448.997,0.463572997
438.715,0.465184536
425.861,0.466793482
418.149,0.468399844
405.296,0.470003629
397.584,0.470003629
387.301,0.471604847
366.735,0.471604847
377.018,0.471604847
356.452,0.473203504
338.458,0.473203504
