y,x
311.902,0.002560818
319.614,0.005115106
329.897,0.01020416
342.751,0.012739013
355.604,0.017789524
365.887,0.022814655
373.599,0.03030532
381.311,0.042666405
389.023,0.054876651
399.306,0.06933472
409.589,0.083586728
419.871,0.099961165
432.725,0.120627874
445.578,0.13641199
455.861,0.151950833
463.573,0.167251065
473.856,0.180182604
484.139,0.195060899
494.422,0.213870287
504.704,0.228258448
517.558,0.246459216
527.841,0.262364264
540.694,0.281896116
553.548,0.304841504
566.401,0.327272189
579.254,0.349211461
592.108,0.372447304
599.82,0.389960869
610.103,0.410580005
617.815,0.427443797
628.098,0.447312497
635.81,0.468399844
643.522,0.489051683
651.234,0.50928624
658.946,0.529118877
666.658,0.553000814
669.229,0.567642346
674.37,0.582072593
676.941,0.594884196
679.512,0.610323025
679.512,0.620024723
679.512,0.628266734
676.941,0.633723556
674.37,0.63644137
669.229,0.637797248
666.658,0.640503501
661.517,0.641853886
651.234,0.644549198
638.38,0.645894134
615.244,0.648579116
628.098,0.648579116
604.961,0.649918647
592.108,0.651256386
579.254,0.652592338
566.401,0.653926507
543.265,0.655258899
525.27,0.655258899
553.548,0.655258899
514.987,0.655258899
