x,y
0.021,553.223
0.035,575.839
0.042,588.507
0.059,615.128
0.064,623.456
0.071,636.225
0.083,653.294
0.091,667.680
0.105,690.501
0.116,708.377
0.127,727.239
0.138,744.877
0.146,759.632
0.158,777.813
0.168,794.286
0.178,809.981
0.187,826.141
0.196,842.117
0.205,856.205
0.213,869.385
0.222,885.036
0.230,898.716
0.246,924.530
0.251,933.396
0.262,949.970
0.270,964.104
0.285,986.830
0.292,999.447
0.300,1012.810
0.314,1033.684
0.321,1044.584
0.335,1062.640
0.342,1073.297
0.350,1082.348
0.363,1101.366
0.370,1108.497
0.383,1120.683
0.390,1124.612
0.403,1124.156
0.410,1111.530
0.423,1041.625
0.430,1042.022
,
,
,
,
,
,
,
,
